,Model,Best Params,MSE,MAE,R^2,Category
0,Ridge,"{'alpha': 1, 'solver': 'lsqr'}",0.049145830498661364,0.1551533942901986,0.21856634247230156,review_scores_rating
1,DummyRegressor,{'strategy': 'mean'},0.06291265042050405,0.18232836154404777,-0.00033028283437075423,review_scores_rating
2,Ridge,"{'alpha': 1, 'solver': 'sag'}",0.04107409051014748,0.13590926284911528,0.17955730998832653,review_scores_accuracy
3,DummyRegressor,{'strategy': 'mean'},0.05009527408639269,0.1549830278653808,-0.0006381375178141635,review_scores_accuracy
4,Ridge,"{'alpha': 1e-05, 'solver': 'sag'}",0.06146556284867334,0.18411344845321323,0.15719057762648225,review_scores_cleanliness
5,DummyRegressor,{'strategy': 'mean'},0.07294292920379868,0.2040286728522023,-0.00018587936534064653,review_scores_cleanliness
6,Ridge,"{'alpha': 10, 'solver': 'lsqr'}",0.04296925162773305,0.13240889135203898,0.14580919577789375,review_scores_checkin
7,DummyRegressor,{'strategy': 'mean'},0.05030914977191711,0.1448209394091747,-0.00010150224884064585,review_scores_checkin
8,Ridge,"{'alpha': 1, 'solver': 'sparse_cg'}",0.02791834865524593,0.10474915181343566,0.20301607454686676,review_scores_communication
9,DummyRegressor,{'strategy': 'mean'},0.035055474717492964,0.12447105545144756,-0.0007271631275678203,review_scores_communication
10,Ridge,"{'alpha': 0.001, 'solver': 'sag'}",0.03981817751448089,0.14268766370977146,0.10391747544222762,review_scores_location
11,DummyRegressor,{'strategy': 'mean'},0.04445579500111848,0.15317201679946774,-0.00044912907773442257,review_scores_location
12,Ridge,"{'alpha': 1, 'solver': 'lsqr'}",0.05707824260158852,0.17262397297983492,0.21027688705145808,review_scores_value
13,DummyRegressor,{'strategy': 'mean'},0.07247688217057913,0.20165155831822482,-0.0027756005746659707,review_scores_value
